,person,offer received,offer viewed,offer completed,transaction,reward_infl,amount_infl,email,mobile,social,web,bogo,discount,informational,avg_difficulty,time_to_open,time_to_complete,total_amount,amount_pct,age,gender,income,seen_ratio,completed_ratio
26,26,5,4,1,12,2.0,27.57,5,4,2,4,2,3,0,11.0,0.04404761904761905,0.375,31.91,0.8639924788467566,,2,,0.8,0.2
27,27,6,3,1,4,2.0,12.07,6,5,2,6,1,4,0,10.0,0.11904761904761905,0.55,17.9,0.6743016759776537,33.0,0,52000.0,0.5,0.16666666666666666
28,28,4,1,0,1,0.0,2.88,4,2,1,4,1,1,1,10.0,0.2,1.0,2.88,1.0,46.0,0,59000.0,0.25,0.0
29,29,6,5,2,5,4.0,29.060000000000002,6,6,3,4,1,2,1,6.0,0.32202380952380955,0.3464285714285714,52.08,0.5579877112135178,59.0,1,41000.0,0.8333333333333334,0.3333333333333333
30,30,4,3,4,2,21.0,56.95,4,4,4,3,2,1,0,7.0,0.16428571428571428,0.4904761904761905,206.88,0.27528035576179427,67.0,1,96000.0,0.75,1.0
31,31,5,3,1,3,2.0,7.3,5,5,3,4,2,1,1,6.0,0.15,0.32142857142857145,18.740000000000002,0.38954108858057623,53.0,2,52000.0,0.6,0.2
32,32,6,6,4,3,28.0,47.31,6,5,4,5,2,2,1,9.0,0.22392857142857142,0.14285714285714285,106.38,0.4447264523406656,22.0,1,70000.0,1.0,0.6666666666666666
33,33,5,2,4,0,15.0,0.0,5,5,3,4,2,2,1,5.0,0.20833333333333331,0.5714285714285714,81.92,0.0,96.0,0,89000.0,0.4,0.8
34,34,6,4,1,5,5.0,10.219999999999999,6,6,3,4,3,0,1,5.0,0.31726190476190474,0.07142857142857142,40.94,0.24963361016121152,40.0,1,33000.0,0.6666666666666666,0.16666666666666666
35,35,6,6,4,5,30.0,74.68,6,6,3,4,3,0,2,5.0,0.2488095238095238,0.07619047619047618,213.49,0.3498056115040517,69.0,0,57000.0,1.0,0.6666666666666666
36,36,4,2,2,2,7.0,1.44,4,4,3,2,2,1,1,6.0,0.0,0.7142857142857143,21.819999999999997,0.06599450045829515,,2,,0.5,0.5
37,37,3,2,2,0,7.0,0.0,3,2,2,2,0,2,1,10.0,0.225,0.025,167.67000000000002,0.0,56.0,1,68000.0,0.6666666666666666,0.6666666666666666
38,38,3,3,2,6,5.0,16.8,3,3,3,2,0,2,1,6.0,0.20833333333333331,0.6785714285714286,73.38000000000001,0.22894521668029433,26.0,0,63000.0,1.0,0.6666666666666666
39,39,6,5,1,1,5.0,0.4,6,6,5,5,2,3,1,7.0,0.29791666666666666,1.0,12.000000000000002,0.03333333333333333,,2,,0.8333333333333334,0.16666666666666666
40,40,4,3,4,4,12.0,130.35,4,4,2,4,1,2,0,7.0,0.38571428571428573,0.5880952380952381,155.53,0.8381019738957114,75.0,1,40000.0,0.75,1.0
41,41,2,1,0,8,0.0,25.49,2,1,1,1,1,1,0,15.0,0.0,1.0,29.889999999999997,0.8527935764469723,20.0,0,30000.0,0.5,0.0
42,42,5,5,3,6,18.0,48.449999999999996,5,5,3,5,2,1,1,6.0,0.1933035714285714,0.5714285714285714,61.25,0.7910204081632652,45.0,1,33000.0,1.0,0.6
43,43,5,4,4,1,20.0,29.03,5,5,3,5,3,2,0,7.0,0.16428571428571428,0.49047619047619045,234.42999999999995,0.12383227402636185,61.0,1,98000.0,0.8,0.8
44,44,2,2,0,1,0.0,0.66,2,0,0,2,0,1,0,20.0,0.075,1.0,7.31,0.0902872777017784,,2,,1.0,0.0
45,45,5,4,1,6,2.0,16.409999999999997,5,2,2,5,1,2,0,12.0,0.2333333333333333,0.4,51.71,0.3173467414426609,,2,,0.8,0.2
46,46,5,3,1,4,5.0,6.67,5,4,3,3,2,2,0,10.0,0.14285714285714285,1.0,32.72,0.2038508557457213,69.0,0,37000.0,0.6,0.2
47,47,6,5,3,3,17.0,84.93,6,6,4,5,3,1,2,5.0,0.6104166666666667,0.1,249.4,0.3405372894947875,54.0,0,80000.0,0.8333333333333334,0.5
48,48,5,3,1,8,5.0,34.06,5,4,3,4,2,1,2,7.0,0.18333333333333335,0.4,51.91000000000001,0.6561356193411673,39.0,1,51000.0,0.6,0.2
49,49,4,2,3,4,10.0,9.07,4,4,2,3,2,2,0,8.0,0.07142857142857142,0.5892857142857143,62.51,0.1450967845144777,41.0,0,41000.0,0.5,0.75
50,50,4,2,2,6,12.0,11.879999999999999,4,4,1,3,2,1,0,8.0,0.10714285714285714,1.0,152.0,0.07815789473684209,79.0,0,48000.0,0.5,0.5
51,51,4,4,1,2,5.0,15.39,4,4,3,2,3,0,1,6.0,0.016666666666666666,1.0,56.08,0.2744293865905849,66.0,0,38000.0,1.0,0.25
52,52,3,1,3,0,13.0,0.0,3,1,1,3,0,2,0,14.0,1.0,1.0,87.10999999999999,0.0,56.0,0,52000.0,0.3333333333333333,1.0
53,53,5,3,3,7,10.0,22.33,5,5,2,4,1,2,1,6.0,0.023809523809523808,0.4285714285714286,150.23000000000002,0.14863875391067027,39.0,0,56000.0,0.6,0.6
54,54,2,2,2,3,10.0,8.809999999999999,2,2,1,2,2,0,0,5.0,0.05,0.7,20.98,0.4199237368922783,,2,,1.0,1.0
55,55,4,4,4,3,20.0,74.11,4,3,2,4,1,3,0,12.0,0.08690476190476192,0.1273809523809524,320.48,0.23124687968047927,42.0,1,96000.0,1.0,1.0
56,56,3,3,0,2,0.0,8.620000000000001,3,3,1,3,0,2,1,6.0,0.06696428571428571,1.0,16.930000000000003,0.5091553455404607,,2,,1.0,0.0
57,57,5,3,1,3,5.0,11.379999999999999,5,5,3,2,2,0,2,4.0,0.4087301587301588,1.0,20.630000000000003,0.5516238487639359,,2,,0.6,0.2
58,58,5,5,5,2,32.0,52.41,5,4,4,4,3,2,0,11.0,0.24821428571428572,0.5583333333333332,225.54999999999998,0.23236532919530037,78.0,0,93000.0,1.0,1.0
59,59,4,2,0,0,0.0,0.0,4,3,2,3,1,2,1,10.0,0.10714285714285714,1.0,17.0,0.0,45.0,1,48000.0,0.5,0.0
60,60,4,2,1,2,5.0,7.7299999999999995,4,3,2,3,0,3,1,10.0,0.08333333333333333,1.0,38.169999999999995,0.20251506418653395,29.0,1,50000.0,0.5,0.25
61,61,4,4,4,4,13.0,37.480000000000004,4,4,4,4,1,2,0,7.0,0.11428571428571428,0.23095238095238094,150.23,0.2494841243426746,44.0,1,35000.0,1.0,1.0
62,62,3,3,3,3,14.0,35.01,3,3,2,2,1,2,0,10.0,0.04821428571428571,0.2839285714285714,121.61999999999999,0.2878638381845091,63.0,1,56000.0,1.0,1.0
63,63,3,2,2,1,8.0,15.61,3,2,2,2,0,2,1,9.0,0.10714285714285714,0.5946428571428571,118.85000000000001,0.1313420277660917,36.0,1,56000.0,0.6666666666666666,0.6666666666666666
64,64,5,3,1,3,3.0,9.05,5,4,3,5,1,2,1,9.0,0.05000000000000001,1.0,22.65,0.3995584988962473,76.0,0,47000.0,0.6,0.2
65,65,5,5,5,2,25.0,43.22,5,5,4,5,2,2,0,8.0,0.20535714285714285,0.46666666666666673,177.18,0.24393272378372274,68.0,1,87000.0,1.0,1.0
66,66,3,3,2,2,7.0,26.09,3,3,1,2,1,1,1,5.0,0.05952380952380952,0.07142857142857142,135.54000000000002,0.19248930205105502,75.0,1,52000.0,1.0,0.6666666666666666
67,67,5,5,4,4,13.0,69.22,5,5,5,4,1,2,1,6.0,0.044642857142857144,0.14285714285714288,200.77999999999997,0.3447554537304513,67.0,1,76000.0,1.0,0.8
68,68,5,4,0,5,0.0,12.63,5,4,4,3,2,1,1,9.0,0.5222222222222223,1.0,23.810000000000002,0.5304493910121797,77.0,1,51000.0,0.8,0.0
69,69,3,2,1,1,2.0,26.4,3,3,2,1,1,1,1,7.0,0.17857142857142858,0.6785714285714286,110.92,0.23800937612693832,76.0,1,64000.0,0.6666666666666666,0.3333333333333333
70,70,3,0,2,0,15.0,0.0,3,2,1,2,2,1,0,12.0,1.0,0.5,27.24,0.0,57.0,1,98000.0,0.0,0.6666666666666666
71,71,6,4,5,3,27.0,51.06,6,6,4,4,2,2,1,7.0,0.2341269841269841,0.3392857142857143,167.88,0.3041458184417441,53.0,0,72000.0,0.6666666666666666,0.8333333333333334
72,72,5,4,5,3,37.0,79.64999999999999,5,5,4,4,3,1,0,9.0,0.5214285714285715,0.4544642857142857,303.20000000000005,0.262697889182058,53.0,0,117000.0,0.8,1.0
73,73,5,3,1,3,2.0,4.83,5,4,3,5,1,3,0,11.0,0.025,1.0,20.18,0.23934588701684836,53.0,0,55000.0,0.6,0.2
74,74,5,5,2,0,5.0,0.0,5,5,3,5,0,3,1,7.0,0.25892857142857145,1.0,67.25,0.0,61.0,0,112000.0,1.0,0.4
75,75,3,3,1,1,2.0,23.59,3,3,2,2,1,1,1,5.0,0.175,1.0,155.73000000000002,0.15148012585885826,67.0,0,77000.0,1.0,0.3333333333333333
76,76,4,4,4,2,14.0,33.72,4,3,3,4,1,2,0,12.0,0.10833333333333332,0.1375,290.41999999999996,0.11610770608084844,58.0,0,85000.0,1.0,1.0
77,77,5,3,0,2,0.0,12.690000000000001,5,5,3,5,0,2,1,6.0,0.13095238095238096,1.0,17.130000000000003,0.7408056042031523,46.0,0,36000.0,0.6,0.0
78,78,2,2,0,0,0.0,0.0,2,2,2,0,1,0,1,5.0,0.8333333333333334,1.0,11.95,0.0,30.0,1,41000.0,1.0,0.0
79,79,6,4,2,1,15.0,22.96,6,5,4,4,1,2,1,9.0,0.2619047619047619,0.15535714285714286,45.400000000000006,0.505726872246696,59.0,1,89000.0,0.6666666666666666,0.3333333333333333
80,80,5,3,0,1,0.0,5.17,5,5,3,4,0,3,2,5.0,0.2833333333333333,1.0,23.160000000000004,0.2232297063903281,,2,,0.6,0.0
81,81,6,4,3,7,9.0,26.870000000000005,6,4,4,5,2,2,0,11.0,0.075,0.30000000000000004,75.96000000000001,0.3537388098999474,51.0,1,41000.0,0.6666666666666666,0.5
82,82,5,4,1,5,2.0,13.18,5,4,4,3,1,2,1,9.0,0.23055555555555554,1.0,29.560000000000002,0.44587280108254396,27.0,1,35000.0,0.8,0.2
83,83,4,3,0,2,0.0,4.16,4,4,3,3,1,0,2,2.0,0.0,1.0,8.17,0.5091799265605875,40.0,1,53000.0,0.75,0.0
84,84,5,5,2,8,5.0,17.21,5,4,4,5,1,3,0,10.0,0.03571428571428571,1.0,32.08,0.5364713216957606,,2,,1.0,0.4
85,85,5,5,3,1,18.0,24.19,5,5,4,3,2,2,1,6.0,0.4958333333333333,0.15476190476190477,109.16000000000001,0.22160131916452913,73.0,0,91000.0,1.0,0.6
86,86,5,4,4,3,9.0,106.79999999999998,5,5,4,5,0,2,1,6.0,0.08333333333333333,0.17500000000000002,298.3,0.3580288300368756,74.0,0,107000.0,0.8,0.8
87,87,3,2,2,1,8.0,17.53,3,2,1,3,0,2,1,9.0,0.14285714285714285,0.3035714285714286,136.94,0.12801226814663358,42.0,1,66000.0,0.6666666666666666,0.6666666666666666
88,88,6,6,3,6,30.0,90.72,6,6,4,5,1,0,2,3.0,0.06,0.425,126.93999999999998,0.7146683472506697,78.0,1,58000.0,1.0,0.5
89,89,6,5,2,11,4.0,36.39,6,6,6,3,2,1,0,10.0,0.15267857142857144,0.35,57.03,0.6380852183061546,54.0,0,53000.0,0.8333333333333334,0.3333333333333333
90,90,3,3,0,0,0.0,0.0,3,3,3,3,1,1,0,6.0,0.1,1.0,0.0,,70.0,0,74000.0,1.0,0.0
91,91,5,5,3,3,18.0,50.57,5,5,4,2,2,1,1,6.0,0.23511904761904762,0.380952380952381,184.78000000000003,0.2736768048490096,49.0,0,57000.0,1.0,0.6
92,92,3,2,0,0,0.0,0.0,3,2,1,3,1,2,0,11.0,0.03571428571428571,1.0,0.0,,62.0,0,57000.0,0.6666666666666666,0.0
93,93,4,4,4,3,20.0,48.07,4,3,3,4,1,3,0,12.0,0.011904761904761904,0.32023809523809527,140.34,0.34252529571041757,64.0,1,70000.0,1.0,1.0
94,94,4,3,4,2,13.0,43.260000000000005,4,3,2,4,0,3,0,12.0,0.0,0.17857142857142858,248.62999999999997,0.17399348429393077,89.0,0,87000.0,0.75,1.0
95,95,5,4,1,5,2.0,5.96,5,4,4,3,1,2,1,10.0,0.2333333333333333,0.95,23.43,0.25437473324797266,73.0,1,51000.0,0.8,0.2
96,96,5,5,1,5,2.0,15.79,5,5,3,3,1,1,2,5.0,0.03645833333333333,1.0,16.46,0.959295261239368,,2,,1.0,0.2
97,97,5,5,4,2,13.0,41.56,5,5,4,4,1,2,1,6.0,0.15,0.22678571428571426,297.29,0.1397961586329846,50.0,0,93000.0,1.0,0.8
98,98,4,1,1,0,10.0,0.0,4,3,3,1,1,1,1,10.0,1.1785714285714286,0.21428571428571427,80.03,0.0,90.0,0,98000.0,0.25,0.25
99,99,5,0,1,0,2.0,0.0,5,3,1,4,1,2,1,10.0,1.0,1.0,34.04,0.0,68.0,0,84000.0,0.0,0.2
100,100,3,2,1,4,5.0,13.04,3,3,1,3,2,0,1,3.0,0.0,1.0,44.13999999999999,0.29542365201631177,60.0,1,64000.0,0.6666666666666666,0.3333333333333333
101,101,5,3,0,4,0.0,5.08,5,4,3,4,2,2,1,10.0,0.2833333333333334,1.0,11.51,0.44135534317984365,45.0,1,54000.0,0.6,0.0
102,102,6,5,5,5,23.0,52.03,6,6,4,6,2,2,1,6.0,0.15714285714285714,0.30714285714285716,200.93,0.25894590155775643,66.0,1,49000.0,0.8333333333333334,0.8333333333333334
103,103,5,2,0,0,0.0,0.0,5,5,3,4,1,2,2,5.0,1.5625,1.0,21.4,0.0,,2,,0.4,0.0
104,104,6,6,0,2,0.0,1.09,6,6,6,4,3,1,1,6.0,0.2442857142857143,1.0,1.09,1.0,,2,,1.0,0.0
105,105,5,3,3,1,9.0,22.49,5,4,2,5,1,2,1,9.0,0.17380952380952383,0.08035714285714285,202.75,0.11092478421701603,19.0,0,73000.0,0.6,0.6
106,106,5,4,3,2,18.0,36.120000000000005,5,5,2,4,2,1,1,6.0,0.1130952380952381,0.08928571428571427,163.53000000000003,0.22087690332049165,66.0,0,58000.0,0.8,0.6
107,107,6,5,6,4,40.0,71.1,6,6,6,4,3,2,0,8.0,0.11875,0.22071428571428572,201.92000000000002,0.3521196513470681,72.0,0,72000.0,0.8333333333333334,1.0
108,108,5,3,0,9,0.0,19.0,5,5,2,4,3,0,1,6.0,0.18511904761904763,1.0,25.14,0.7557677008750995,,2,,0.6,0.0
109,109,5,5,4,4,14.0,54.42,5,4,3,5,1,2,1,9.0,0.05,0.06666666666666667,224.76,0.24212493326214632,76.0,1,63000.0,1.0,0.8
110,110,5,3,5,2,34.0,41.370000000000005,5,5,3,4,2,1,0,10.0,0.3035714285714286,0.3880952380952381,117.91999999999999,0.35083107191316154,52.0,1,78000.0,0.6,1.0
111,111,4,2,1,1,5.0,5.85,4,4,2,3,3,0,1,6.0,0.5821428571428571,0.35714285714285715,30.729999999999997,0.19036771884152295,55.0,1,31000.0,0.5,0.25
112,112,4,4,3,6,17.0,111.3,4,4,3,3,2,1,1,6.0,0.0,0.4571428571428572,705.5,0.15776045357902196,39.0,0,60000.0,1.0,0.75
113,113,6,2,5,2,29.0,11.25,6,6,3,6,2,2,0,9.0,0.0,0.305952380952381,163.70999999999998,0.06871907641561298,45.0,0,44000.0,0.3333333333333333,0.8333333333333334
114,114,6,5,5,3,32.0,66.47,6,6,5,5,3,1,1,7.0,0.19464285714285712,0.30714285714285716,184.82,0.35964722432637164,57.0,0,114000.0,0.8333333333333334,0.8333333333333334
115,115,3,1,0,1,0.0,3.39,3,3,2,3,1,1,0,6.0,0.5,1.0,6.86,0.4941690962099125,74.0,1,48000.0,0.3333333333333333,0.0
116,116,6,4,5,5,20.0,40.29,6,6,5,5,2,3,0,9.0,0.1238095238095238,0.2580357142857143,275.61,0.14618482638510938,18.0,1,47000.0,0.6666666666666666,0.8333333333333334
117,117,5,5,4,3,13.0,82.33000000000001,5,5,4,4,2,2,0,8.0,0.02142857142857143,0.3047619047619048,138.84,0.5929847306251801,53.0,1,96000.0,1.0,0.8
118,118,3,1,3,1,6.0,39.99,3,3,0,3,0,1,0,10.0,0.6071428571428571,0.39285714285714285,112.04,0.35692609782220636,59.0,0,98000.0,0.3333333333333333,1.0
119,119,4,3,1,0,2.0,0.0,4,4,2,4,1,1,1,7.0,1.65625,1.0,34.22,0.0,57.0,1,46000.0,0.75,0.25
120,120,5,4,2,3,8.0,28.67,5,5,4,3,1,1,1,4.0,0.09126984126984126,0.35714285714285715,40.94,0.7002931118710308,51.0,0,56000.0,0.8,0.4
121,121,5,5,0,6,0.0,16.85,5,5,4,4,3,1,1,5.0,0.10416666666666667,1.0,22.92,0.7351657940663177,,2,,1.0,0.0
122,122,4,4,0,6,0.0,7.75,4,4,3,2,1,1,1,7.0,0.24365079365079365,1.0,15.020000000000001,0.5159786950732357,,2,,1.0,0.0
123,123,5,5,3,3,12.0,22.64,5,5,4,4,4,1,0,8.0,0.02767857142857143,0.36250000000000004,51.37000000000001,0.44072415806891174,64.0,0,37000.0,1.0,0.6
124,124,4,3,0,6,0.0,14.190000000000001,4,3,2,4,1,1,1,8.0,0.041666666666666664,1.0,30.14,0.47080291970802923,71.0,1,57000.0,0.75,0.0
125,125,4,4,2,2,12.0,32.91,4,4,3,2,2,1,1,8.0,0.11984126984126985,0.14285714285714285,50.349999999999994,0.6536246276067528,64.0,0,66000.0,1.0,0.5
126,126,5,5,0,2,0.0,4.7,5,5,5,3,2,1,1,6.0,0.17976190476190476,1.0,16.77,0.28026237328562914,83.0,1,46000.0,1.0,0.0
127,127,5,3,0,1,0.0,9.02,5,5,3,3,2,2,1,6.0,0.07142857142857142,1.0,13.799999999999999,0.6536231884057971,26.0,1,71000.0,0.6,0.0
128,128,4,3,0,3,0.0,3.81,4,4,2,2,1,1,1,7.0,0.16666666666666666,1.0,13.090000000000002,0.29106187929717336,,2,,0.75,0.0
129,129,5,5,1,6,3.0,14.43,5,5,5,3,1,2,1,7.0,0.18303571428571427,1.0,30.479999999999997,0.47342519685039375,29.0,0,58000.0,1.0,0.2
130,130,4,3,0,1,0.0,2.03,4,3,2,4,2,2,0,9.0,0.17857142857142858,1.0,2.03,1.0,43.0,1,70000.0,0.75,0.0
131,131,4,4,3,4,14.0,64.56,4,4,3,2,1,2,1,8.0,0.15873015873015872,0.5178571428571429,124.82000000000001,0.517224803717353,89.0,0,65000.0,1.0,0.75
132,132,5,5,2,0,8.0,0.0,5,4,2,5,2,2,1,8.0,0.24107142857142858,0.42857142857142855,24.93,0.0,49.0,0,79000.0,1.0,0.4
133,133,4,3,3,3,25.0,87.71,4,4,3,2,2,0,1,5.0,0.09523809523809523,0.16904761904761903,317.03000000000003,0.276661514683153,79.0,1,67000.0,0.75,0.75
134,134,5,5,3,2,15.0,52.0,5,5,4,3,1,2,2,5.0,0.39657738095238093,0.26785714285714285,195.35000000000002,0.26618889173278726,55.0,0,94000.0,1.0,0.6
135,135,5,3,2,4,20.0,74.65,5,5,2,3,1,0,1,5.0,0.08482142857142858,0.14285714285714285,272.23,0.27421665503434595,55.0,1,66000.0,0.6,0.4
136,136,4,3,0,4,0.0,12.65,4,3,3,3,2,1,1,9.0,0.07500000000000001,1.0,16.459999999999997,0.7685297691373028,45.0,1,31000.0,0.75,0.0
137,137,4,2,0,3,0.0,4.49,4,3,2,4,1,1,1,8.0,0.15,1.0,9.8,0.45816326530612245,52.0,1,30000.0,0.5,0.0
138,138,4,3,4,1,30.0,20.75,4,4,3,4,3,0,0,7.0,0.30000000000000004,0.2738095238095238,156.54,0.13255397981346623,39.0,1,55000.0,0.75,1.0
139,139,4,2,1,0,5.0,0.0,4,3,3,2,1,1,1,10.0,0.85,0.55,60.25,0.0,77.0,1,69000.0,0.5,0.25
140,140,5,3,2,3,8.0,20.25,5,5,3,3,2,2,1,6.0,0.08730158730158728,0.39285714285714285,30.9,0.6553398058252428,66.0,1,60000.0,0.6,0.4
141,141,4,4,2,1,10.0,34.11,4,3,2,4,2,1,0,10.0,0.03333333333333333,0.85,53.21,0.6410449163691035,69.0,0,87000.0,1.0,0.5
142,142,2,2,1,1,2.0,21.72,2,2,2,1,1,1,0,10.0,0.1,0.675,55.13,0.3939778704879376,74.0,1,53000.0,1.0,0.5
143,143,4,4,0,5,0.0,8.21,4,4,3,3,1,2,0,10.0,0.08690476190476189,1.0,9.7,0.8463917525773197,,2,,1.0,0.0
144,144,5,5,4,2,12.0,53.39,5,4,3,5,1,4,0,10.0,0.0,0.125,114.70000000000002,0.4654751525719267,75.0,0,87000.0,1.0,0.8
145,145,6,5,4,2,12.0,57.03,6,6,4,5,1,3,1,6.0,0.32083333333333336,0.24285714285714288,193.10000000000002,0.2953392024857586,59.0,0,85000.0,0.8333333333333334,0.6666666666666666
146,146,3,3,2,2,12.0,36.45,3,3,1,2,1,1,1,7.0,0.125,0.375,74.17,0.4914385870297964,47.0,1,66000.0,1.0,0.6666666666666666
147,147,4,2,0,0,0.0,0.0,4,3,2,4,2,2,0,9.0,0.3,1.0,0.87,0.0,20.0,1,69000.0,0.5,0.0
148,148,4,4,2,1,7.0,18.46,4,4,3,3,1,2,1,6.0,0.4166666666666667,0.75,127.28,0.1450345694531741,60.0,1,108000.0,1.0,0.5
149,149,5,2,3,2,8.0,5.960000000000001,5,5,3,5,0,2,1,6.0,0.21428571428571427,0.0,24.0,0.24833333333333338,65.0,1,61000.0,0.4,0.6
150,150,4,1,1,4,2.0,9.87,4,2,1,4,0,3,0,13.0,0.075,1.0,19.78,0.4989888776541961,33.0,1,43000.0,0.25,0.25
151,151,5,5,1,3,2.0,428.96,5,5,2,4,0,1,2,3.0,0.12604166666666666,0.0,562.7699999999999,0.7622296853066085,39.0,0,67000.0,1.0,0.2
152,152,3,2,1,1,5.0,3.19,3,3,1,3,1,1,1,5.0,0.0,1.0,38.260000000000005,0.0833768949294302,49.0,1,59000.0,0.6666666666666666,0.3333333333333333
153,153,5,5,0,2,0.0,17.19,5,4,4,3,1,3,1,9.0,0.05267857142857143,1.0,17.19,1.0,68.0,1,58000.0,1.0,0.0
154,154,3,3,1,1,10.0,13.3,3,3,2,2,1,0,2,3.0,0.18125,0.65,53.74000000000001,0.2474879047264607,42.0,1,80000.0,1.0,0.3333333333333333
155,155,6,3,0,2,0.0,4.2299999999999995,6,5,3,6,3,3,0,10.0,0.07500000000000001,1.0,8.14,0.5196560196560196,72.0,1,33000.0,0.5,0.0
156,156,5,3,2,5,6.0,20.91,5,4,2,5,1,3,0,10.0,0.17857142857142858,0.8928571428571429,30.47,0.6862487692812603,18.0,0,49000.0,0.6,0.4
157,157,2,1,2,0,10.0,0.0,2,2,1,2,2,0,0,5.0,0.7,0.35,71.19,0.0,32.0,0,42000.0,0.5,1.0
158,158,5,5,1,2,3.0,19.33,5,5,3,4,1,2,2,5.0,0.1138392857142857,0.25,33.07,0.5845176897490172,67.0,1,50000.0,1.0,0.2
159,159,5,2,0,2,0.0,3.97,5,2,2,4,0,2,1,9.0,0.0,1.0,5.4,0.7351851851851852,52.0,1,42000.0,0.4,0.0
