,person,offer_id,offer received,offer viewed,offer completed,transaction,reward,amount
71,20,8.0,1,0,1,0,2.0,0.0
72,20,9.0,1,1,1,0,5.0,0.0
73,21,0.0,1,1,0,1,0.0,30.0
74,21,5.0,2,2,1,0,10.0,0.0
75,21,9.0,2,1,2,1,10.0,32.31
76,22,0.0,2,2,0,3,0.0,55.14
77,22,1.0,2,2,0,1,0.0,25.27
78,22,6.0,1,1,0,0,0.0,0.0
79,22,7.0,1,1,1,1,2.0,13.32
80,23,0.0,1,1,0,1,0.0,2.31
81,23,4.0,1,1,0,0,0.0,0.0
82,23,6.0,1,1,0,0,0.0,0.0
83,23,9.0,2,2,0,0,0.0,0.0
84,24,0.0,1,1,0,0,0.0,0.0
85,24,6.0,1,1,1,1,10.0,12.94
86,24,7.0,2,2,2,2,4.0,46.51
87,25,2.0,2,2,0,0,0.0,0.0
88,25,6.0,1,1,1,1,10.0,28.48
89,25,8.0,1,1,1,1,2.0,27.23
90,25,9.0,2,2,2,1,10.0,19.91
91,26,2.0,1,1,0,4,0.0,11.240000000000002
92,26,5.0,1,1,0,4,0.0,5.59
93,26,7.0,1,1,1,4,2.0,10.739999999999998
94,26,8.0,1,0,0,0,0.0,0.0
95,26,9.0,1,1,0,0,0.0,0.0
96,27,2.0,1,0,0,0,0.0,0.0
97,27,4.0,1,1,0,1,0.0,0.81
98,27,7.0,1,1,1,3,2.0,11.26
99,27,8.0,2,1,0,0,0.0,0.0
100,27,9.0,1,0,0,0,0.0,0.0
101,28,0.0,1,0,0,0,0.0,0.0
102,28,6.0,1,1,0,1,0.0,2.88
103,28,9.0,2,0,0,0,0.0,0.0
104,29,1.0,2,2,0,2,0.0,7.550000000000001
105,29,2.0,2,1,0,0,0.0,0.0
106,29,7.0,1,1,1,1,2.0,9.32
107,29,8.0,1,1,1,2,2.0,12.19
108,30,3.0,1,1,1,1,5.0,25.42
109,30,4.0,2,2,2,1,6.0,31.53
110,30,5.0,1,0,1,0,10.0,0.0
111,31,1.0,1,1,0,1,0.0,1.72
112,31,2.0,1,0,0,0,0.0,0.0
113,31,6.0,2,2,0,2,0.0,5.58
114,31,8.0,1,0,1,0,2.0,0.0
115,32,0.0,1,1,0,0,0.0,0.0
116,32,4.0,1,1,1,1,3.0,20.63
117,32,5.0,1,1,0,0,0.0,0.0
118,32,6.0,2,2,2,2,20.0,26.68
119,32,9.0,1,1,1,0,5.0,0.0
120,33,1.0,1,1,0,0,0.0,0.0
121,33,2.0,1,0,1,0,5.0,0.0
122,33,3.0,1,1,1,0,5.0,0.0
123,33,4.0,1,0,1,0,3.0,0.0
124,33,8.0,1,0,1,0,2.0,0.0
125,34,1.0,1,1,0,0,0.0,0.0
126,34,2.0,3,1,1,0,5.0,0.0
127,34,3.0,1,1,0,3,0.0,5.47
128,34,5.0,1,1,0,2,0.0,4.75
129,35,0.0,1,1,0,2,0.0,22.130000000000003
130,35,1.0,1,1,0,0,0.0,0.0
131,35,2.0,2,2,2,2,10.0,32.67
132,35,5.0,1,1,1,0,10.0,0.0
133,35,6.0,1,1,1,1,10.0,19.88
134,36,1.0,1,1,0,1,0.0,1.22
135,36,3.0,1,1,1,1,5.0,0.22
136,36,5.0,1,0,0,0,0.0,0.0
137,36,8.0,1,0,1,0,2.0,0.0
138,37,1.0,1,0,0,0,0.0,0.0
139,37,7.0,1,1,1,0,2.0,0.0
140,37,9.0,1,1,1,0,5.0,0.0
141,38,1.0,1,1,0,2,0.0,6.12
142,38,4.0,1,1,1,4,3.0,10.68
143,38,7.0,1,1,1,0,2.0,0.0
144,39,1.0,1,1,0,0,0.0,0.0
145,39,3.0,1,1,1,0,5.0,0.0
146,39,4.0,1,1,0,0,0.0,0.0
147,39,6.0,1,1,0,1,0.0,0.4
148,39,7.0,1,1,0,0,0.0,0.0
149,39,8.0,1,0,0,0,0.0,0.0
150,40,3.0,1,1,1,1,5.0,5.79
151,40,4.0,1,1,1,2,3.0,9.56
152,40,8.0,2,1,2,1,4.0,115.0
153,41,5.0,1,1,0,8,0.0,25.49
154,41,9.0,1,0,0,0,0.0,0.0
155,42,0.0,1,1,0,2,0.0,11.25
156,42,2.0,1,1,1,1,5.0,6.01
157,42,4.0,1,1,1,1,3.0,3.33
158,42,6.0,2,2,1,2,10.0,27.86
159,43,2.0,1,1,1,0,5.0,0.0
160,43,3.0,1,1,0,0,0.0,0.0
161,43,4.0,1,1,1,1,3.0,29.03
162,43,6.0,1,1,1,0,10.0,0.0
163,43,8.0,1,0,1,0,2.0,0.0
164,44,9.0,2,2,0,1,0.0,0.66
165,45,3.0,1,1,0,1,0.0,2.27
166,45,7.0,1,1,1,2,2.0,10.129999999999999
167,45,9.0,3,2,0,3,0.0,4.01
168,46,2.0,1,0,0,0,0.0,0.0
169,46,4.0,1,1,0,2,0.0,4.88
170,46,5.0,2,2,0,2,0.0,1.79
171,46,9.0,1,0,1,0,5.0,0.0
172,47,0.0,1,1,0,1,0.0,26.75
173,47,1.0,1,1,0,0,0.0,0.0
174,47,2.0,1,0,0,0,0.0,0.0
175,47,3.0,1,1,1,1,5.0,19.36
176,47,6.0,1,1,1,1,10.0,38.82
177,47,7.0,1,1,1,0,2.0,0.0
178,48,0.0,1,0,0,0,0.0,0.0
179,48,1.0,1,1,0,4,0.0,15.26
180,48,3.0,1,1,1,1,5.0,7.16
181,48,6.0,1,1,0,3,0.0,11.64
182,48,9.0,1,0,0,0,0.0,0.0
183,49,2.0,1,0,1,0,5.0,0.0
184,49,4.0,1,1,1,4,3.0,9.07
185,49,5.0,1,1,0,0,0.0,0.0
186,49,8.0,1,0,1,0,2.0,0.0
187,50,2.0,1,1,0,5,0.0,8.34
188,50,5.0,1,1,1,1,10.0,3.54
189,50,8.0,2,0,1,0,2.0,0.0
190,51,1.0,1,1,0,1,0.0,7.93
191,51,2.0,1,1,1,0,5.0,0.0
192,51,5.0,1,1,0,1,0.0,7.46
193,51,6.0,1,1,0,0,0.0,0.0
194,52,4.0,1,1,1,0,3.0,0.0
195,52,9.0,2,0,2,0,10.0,0.0
196,53,1.0,1,1,0,0,0.0,0.0
197,53,2.0,2,1,1,4,5.0,14.3
198,53,4.0,1,1,1,3,3.0,8.03
199,53,8.0,1,0,1,0,2.0,0.0
200,54,2.0,1,1,1,0,5.0,0.0
201,54,3.0,1,1,1,3,5.0,8.809999999999999
202,55,4.0,1,1,1,1,3.0,18.42
203,55,6.0,1,1,1,0,10.0,0.0
204,55,8.0,1,1,1,1,2.0,34.56
205,55,9.0,1,1,1,1,5.0,21.13
206,56,0.0,1,1,0,1,0.0,3.47
207,56,4.0,1,1,0,0,0.0,0.0
208,56,8.0,1,1,0,1,0.0,5.15
209,57,0.0,1,0,0,0,0.0,0.0
210,57,1.0,1,1,0,0,0.0,0.0
211,57,2.0,1,0,1,0,5.0,0.0
212,57,5.0,2,2,0,3,0.0,11.379999999999999
213,58,3.0,1,1,1,0,5.0,0.0
214,58,5.0,1,1,1,0,10.0,0.0
215,58,6.0,1,1,1,1,10.0,26.33
216,58,7.0,1,1,1,0,2.0,0.0
217,58,9.0,1,1,1,1,5.0,26.08
218,59,0.0,1,0,0,0,0.0,0.0
219,59,5.0,1,1,0,0,0.0,0.0
220,59,7.0,1,1,0,0,0.0,0.0
221,59,9.0,1,0,0,0,0.0,0.0
222,60,1.0,1,1,0,2,0.0,7.7299999999999995
223,60,7.0,1,1,0,0,0.0,0.0
224,60,8.0,1,0,0,0,0.0,0.0
225,60,9.0,1,0,1,0,5.0,0.0
226,61,3.0,1,1,1,1,5.0,8.7
227,61,4.0,2,2,2,3,6.0,28.78
228,61,7.0,1,1,1,0,2.0,0.0
229,62,5.0,1,1,1,0,10.0,0.0
230,62,7.0,1,1,1,2,2.0,22.61
231,62,8.0,1,1,1,1,2.0,12.4
232,63,1.0,1,1,0,0,0.0,0.0
233,63,4.0,1,1,1,1,3.0,15.61
234,63,9.0,1,0,1,0,5.0,0.0
235,64,0.0,1,0,0,0,0.0,0.0
236,64,4.0,1,1,1,0,3.0,0.0
237,64,6.0,2,2,0,3,0.0,9.05
238,64,9.0,1,0,0,0,0.0,0.0
239,65,3.0,2,2,2,2,10.0,43.22
240,65,4.0,1,1,1,0,3.0,0.0
241,65,6.0,1,1,1,0,10.0,0.0
242,65,8.0,1,1,1,0,2.0,0.0
243,66,1.0,1,1,0,1,0.0,13.69
244,66,2.0,1,1,1,0,5.0,0.0
245,66,8.0,1,1,1,1,2.0,12.4
246,67,1.0,1,1,0,0,0.0,0.0
247,67,3.0,1,1,1,1,5.0,12.52
248,67,4.0,2,2,2,2,6.0,36.32
249,67,7.0,1,1,1,1,2.0,20.38
250,68,1.0,2,2,0,2,0.0,7.790000000000001
251,68,3.0,1,1,0,0,0.0,0.0
252,68,6.0,1,1,0,3,0.0,4.84
253,68,9.0,1,0,0,0,0.0,0.0
254,69,1.0,1,1,0,0,0.0,0.0
255,69,5.0,1,0,0,0,0.0,0.0
256,69,8.0,1,1,1,1,2.0,26.4
257,70,2.0,1,0,0,0,0.0,0.0
258,70,5.0,1,0,1,0,10.0,0.0
259,70,9.0,1,0,1,0,5.0,0.0
260,71,1.0,1,1,0,1,0.0,14.08
261,71,4.0,1,1,1,1,3.0,26.57
262,71,5.0,1,1,1,1,10.0,10.41
263,71,6.0,1,1,1,0,10.0,0.0
264,71,8.0,2,0,2,0,4.0,0.0
265,72,2.0,1,1,1,1,5.0,17.09
266,72,5.0,1,1,1,1,10.0,26.65
267,72,6.0,2,2,2,1,20.0,35.91
268,72,7.0,1,0,1,0,2.0,0.0
269,73,3.0,2,2,0,3,0.0,4.83
270,73,7.0,1,1,1,0,2.0,0.0
271,73,8.0,1,0,0,0,0.0,0.0
272,73,9.0,1,0,0,0,0.0,0.0
273,74,0.0,1,1,0,0,0.0,0.0
274,74,4.0,1,1,1,0,3.0,0.0
275,74,7.0,2,2,1,0,2.0,0.0
276,74,8.0,1,1,0,0,0.0,0.0
277,75,1.0,1,1,0,1,0.0,23.59
278,75,3.0,1,1,0,0,0.0,0.0
279,75,8.0,1,1,1,0,2.0,0.0
280,76,3.0,1,1,1,1,5.0,17.04
281,76,7.0,2,2,2,1,4.0,16.68
282,76,9.0,1,1,1,0,5.0,0.0
283,77,0.0,2,0,0,0,0.0,0.0
284,77,4.0,2,2,0,1,0.0,6.11
285,77,7.0,1,1,0,1,0.0,6.58
286,78,1.0,1,1,0,0,0.0,0.0
287,78,5.0,1,1,0,0,0.0,0.0
288,79,0.0,1,1,0,0,0.0,0.0
289,79,4.0,2,2,0,0,0.0,0.0
290,79,5.0,2,1,1,1,10.0,22.96
291,79,9.0,1,0,1,0,5.0,0.0
292,80,0.0,1,0,0,0,0.0,0.0
293,80,1.0,1,1,0,0,0.0,0.0
294,80,4.0,1,1,0,0,0.0,0.0
295,80,7.0,1,1,0,1,0.0,5.17
296,80,8.0,1,0,0,0,0.0,0.0
297,81,3.0,1,1,1,2,5.0,8.67
298,81,5.0,1,0,0,0,0.0,0.0
299,81,7.0,2,2,2,5,4.0,18.200000000000003
300,81,9.0,2,1,0,0,0.0,0.0
301,82,1.0,2,2,0,4,0.0,10.01
302,82,3.0,1,1,0,0,0.0,0.0
303,82,7.0,1,1,1,1,2.0,3.17
304,82,9.0,1,0,0,0,0.0,0.0
305,83,0.0,1,0,0,0,0.0,0.0
306,83,1.0,1,1,0,0,0.0,0.0
307,83,3.0,2,2,0,2,0.0,4.16
308,84,3.0,2,2,0,4,0.0,6.09
309,84,4.0,1,1,1,1,3.0,3.96
310,84,7.0,1,1,1,3,2.0,7.16
311,84,9.0,1,1,0,0,0.0,0.0
312,85,1.0,1,1,0,0,0.0,0.0
313,85,3.0,1,1,1,0,5.0,0.0
314,85,4.0,1,1,1,1,3.0,24.19
315,85,5.0,1,1,1,0,10.0,0.0
316,85,8.0,1,1,0,0,0.0,0.0
317,86,0.0,1,0,0,0,0.0,0.0
318,86,4.0,1,1,1,0,3.0,0.0
319,86,7.0,3,3,3,3,6.0,106.79999999999998
320,87,0.0,1,1,0,0,0.0,0.0
321,87,4.0,1,1,1,1,3.0,17.53
322,87,9.0,1,0,1,0,5.0,0.0
323,88,0.0,2,2,0,4,0.0,65.07
324,88,1.0,1,1,0,0,0.0,0.0
325,88,6.0,3,3,3,2,30.0,25.65
326,89,5.0,3,3,0,6,0.0,24.900000000000002
327,89,6.0,1,0,0,0,0.0,0.0
328,89,7.0,2,2,2,5,4.0,11.489999999999998
329,90,3.0,2,2,0,0,0.0,0.0
330,90,4.0,1,1,0,0,0.0,0.0
331,91,1.0,2,2,0,0,0.0,0.0
332,91,2.0,1,1,1,1,5.0,15.21
333,91,4.0,1,1,1,1,3.0,19.96
334,91,5.0,1,1,1,1,10.0,15.4
335,92,2.0,1,1,0,0,0.0,0.0
336,92,4.0,1,1,0,0,0.0,0.0
337,92,9.0,1,0,0,0,0.0,0.0
338,93,4.0,1,1,1,1,3.0,20.38
339,93,6.0,1,1,1,1,10.0,11.72
340,93,7.0,1,1,1,1,2.0,15.97
341,93,9.0,1,1,1,0,5.0,0.0
342,94,4.0,2,2,2,1,6.0,28.44
343,94,8.0,1,1,1,1,2.0,14.82
344,94,9.0,1,0,1,0,5.0,0.0
345,95,1.0,2,2,0,0,0.0,0.0
346,95,6.0,1,1,0,3,0.0,4.74
347,95,7.0,1,1,1,2,2.0,1.22
348,95,9.0,1,0,0,0,0.0,0.0
349,96,0.0,2,2,0,1,0.0,0.05
350,96,1.0,1,1,0,1,0.0,3.51
351,96,5.0,1,1,0,1,0.0,4.72
352,96,7.0,1,1,1,2,2.0,7.510000000000001
353,97,1.0,1,1,0,0,0.0,0.0
354,97,3.0,1,1,1,0,5.0,0.0
355,97,4.0,2,2,2,1,6.0,18.81
356,97,8.0,1,1,1,1,2.0,22.75
357,98,1.0,1,0,0,0,0.0,0.0
358,98,5.0,2,1,1,0,10.0,0.0
359,98,9.0,1,0,0,0,0.0,0.0
360,99,0.0,1,0,0,0,0.0,0.0
361,99,5.0,1,0,0,0,0.0,0.0
362,99,8.0,1,0,1,0,2.0,0.0
363,99,9.0,2,0,0,0,0.0,0.0
364,100,0.0,1,0,0,0,0.0,0.0
365,100,2.0,1,1,0,4,0.0,13.04
366,100,3.0,1,1,1,0,5.0,0.0
367,101,0.0,1,0,0,0,0.0,0.0
368,101,5.0,1,1,0,2,0.0,1.96
369,101,6.0,1,1,0,0,0.0,0.0
370,101,7.0,1,1,0,2,0.0,3.12
371,101,9.0,1,0,0,0,0.0,0.0
372,102,0.0,1,1,0,1,0.0,13.75
373,102,3.0,1,1,1,2,5.0,16.0
374,102,4.0,2,2,2,2,6.0,22.28
375,102,6.0,1,1,1,0,10.0,0.0
376,102,8.0,1,0,1,0,2.0,0.0
377,103,0.0,1,1,0,0,0.0,0.0
378,103,1.0,1,0,0,0,0.0,0.0
379,103,4.0,1,1,0,0,0.0,0.0
380,103,6.0,1,0,0,0,0.0,0.0
381,103,8.0,1,0,0,0,0.0,0.0
382,104,1.0,1,1,0,0,0.0,0.0
383,104,3.0,2,2,0,2,0.0,1.09
384,104,4.0,1,1,0,0,0.0,0.0
385,104,5.0,1,1,0,0,0.0,0.0
386,104,6.0,1,1,0,0,0.0,0.0
387,105,0.0,1,0,0,0,0.0,0.0
388,105,2.0,1,1,1,0,5.0,0.0
389,105,7.0,2,2,2,1,4.0,22.49
390,105,9.0,1,0,0,0,0.0,0.0
391,106,0.0,2,1,0,1,0.0,16.1
392,106,2.0,1,1,1,0,5.0,0.0
393,106,4.0,1,1,1,1,3.0,20.02
394,106,5.0,1,1,1,0,10.0,0.0
395,107,3.0,1,1,1,1,5.0,14.87
396,107,4.0,1,1,1,0,3.0,0.0
397,107,5.0,2,1,2,1,20.0,14.36
398,107,6.0,1,1,1,1,10.0,17.48
399,107,7.0,1,1,1,1,2.0,24.39
400,108,0.0,2,1,0,1,0.0,1.76
401,108,2.0,1,0,0,0,0.0,0.0
402,108,5.0,1,1,0,2,0.0,2.9699999999999998
403,108,6.0,1,1,0,6,0.0,14.270000000000001
404,109,0.0,1,1,0,2,0.0,29.04
405,109,3.0,1,1,1,0,5.0,0.0
406,109,7.0,2,2,2,2,4.0,25.38
407,109,9.0,1,1,1,0,5.0,0.0
408,110,5.0,1,0,1,0,10.0,0.0
409,110,6.0,2,2,2,1,20.0,12.23
410,110,8.0,2,1,2,1,4.0,29.14
411,111,0.0,1,0,0,0,0.0,0.0
412,111,2.0,1,0,1,0,5.0,0.0
413,111,5.0,1,1,0,0,0.0,0.0
414,111,6.0,1,1,0,1,0.0,5.85
415,112,1.0,1,1,0,4,0.0,68.81
416,112,3.0,1,1,1,1,5.0,23.38
417,112,6.0,1,1,1,0,10.0,0.0
418,112,8.0,1,1,1,1,2.0,19.11
419,113,2.0,2,0,1,0,5.0,0.0
420,113,6.0,2,1,2,0,20.0,0.0
421,113,7.0,1,1,1,2,2.0,11.25
422,113,8.0,1,0,1,0,2.0,0.0
423,114,0.0,1,0,0,0,0.0,0.0
424,114,3.0,2,2,2,1,10.0,20.72
425,114,5.0,1,1,1,1,10.0,20.8
426,114,6.0,1,1,1,1,10.0,24.95
427,114,7.0,1,1,1,0,2.0,0.0
428,115,2.0,1,1,0,1,0.0,3.39
429,115,4.0,2,0,0,0,0.0,0.0
430,116,4.0,2,2,2,3,6.0,25.93
431,116,5.0,1,0,0,0,0.0,0.0
432,116,6.0,1,1,1,0,10.0,0.0
433,116,7.0,1,1,1,2,2.0,14.36
434,116,8.0,1,0,1,0,2.0,0.0
435,117,3.0,1,1,1,1,5.0,20.26
436,117,4.0,2,2,2,1,6.0,28.44
437,117,5.0,1,1,0,0,0.0,0.0
438,117,8.0,1,1,1,1,2.0,33.63
439,118,8.0,3,1,3,1,6.0,39.99
440,119,0.0,2,2,0,0,0.0,0.0
441,119,6.0,1,1,0,0,0.0,0.0
442,119,7.0,1,0,1,0,2.0,0.0
443,120,1.0,2,2,0,1,0.0,12.3
444,120,2.0,1,0,1,0,5.0,0.0
445,120,4.0,2,2,1,2,3.0,16.37
446,121,1.0,1,1,0,0,0.0,0.0
447,121,2.0,1,1,0,1,0.0,1.1400000000000001
448,121,3.0,1,1,0,3,0.0,4.78
449,121,4.0,1,1,0,0,0.0,0.0
450,121,6.0,1,1,0,2,0.0,10.93
451,122,1.0,2,2,0,1,0.0,1.46
452,122,6.0,1,1,0,1,0.0,0.67
453,122,8.0,1,1,0,4,0.0,5.62
454,123,2.0,1,1,1,0,5.0,0.0
455,123,3.0,1,1,1,1,5.0,10.81
456,123,5.0,1,1,0,0,0.0,0.0
457,123,6.0,1,1,0,0,0.0,0.0
458,123,7.0,1,1,1,2,2.0,11.83
459,124,0.0,1,1,0,3,0.0,8.72
460,124,3.0,2,2,0,3,0.0,5.47
461,124,9.0,1,0,0,0,0.0,0.0
462,125,1.0,1,1,0,1,0.0,19.9
463,125,5.0,1,1,1,1,10.0,13.01
464,125,6.0,1,1,0,0,0.0,0.0
465,125,8.0,1,1,1,0,2.0,0.0
466,126,1.0,1,1,0,1,0.0,1.33
467,126,3.0,2,2,0,0,0.0,0.0
468,126,4.0,1,1,0,0,0.0,0.0
469,126,5.0,1,1,0,1,0.0,3.37
470,127,1.0,1,1,0,0,0.0,0.0
471,127,2.0,1,0,0,0,0.0,0.0
472,127,4.0,1,1,0,0,0.0,0.0
473,127,5.0,1,1,0,1,0.0,9.02
474,127,8.0,1,0,0,0,0.0,0.0
475,128,1.0,1,1,0,0,0.0,0.0
476,128,5.0,1,1,0,3,0.0,3.81
477,128,8.0,2,1,0,0,0.0,0.0
478,129,1.0,1,1,0,0,0.0,0.0
479,129,4.0,2,2,1,2,3.0,5.359999999999999
480,129,5.0,1,1,0,1,0.0,4.5600000000000005
481,129,7.0,1,1,0,3,0.0,4.510000000000001
482,130,2.0,1,1,0,1,0.0,2.03
483,130,3.0,1,1,0,0,0.0,0.0
484,130,4.0,1,1,0,0,0.0,0.0
485,130,9.0,1,0,0,0,0.0,0.0
486,131,1.0,1,1,0,1,0.0,18.09
487,131,5.0,1,1,1,1,10.0,25.62
488,131,7.0,1,1,1,0,2.0,0.0
489,131,8.0,1,1,1,2,2.0,20.85
490,132,0.0,1,1,0,0,0.0,0.0
491,132,2.0,1,1,1,0,5.0,0.0
492,132,4.0,1,1,1,0,3.0,0.0
493,132,6.0,1,1,0,0,0.0,0.0
494,132,9.0,1,1,0,0,0.0,0.0
495,133,0.0,1,0,0,0,0.0,0.0
496,133,3.0,1,1,1,1,5.0,22.02
497,133,5.0,2,2,2,2,20.0,65.69
498,134,0.0,1,1,0,1,0.0,27.45
499,134,1.0,1,1,0,0,0.0,0.0
500,134,4.0,1,1,1,0,3.0,0.0
501,134,5.0,1,1,1,0,10.0,0.0
502,134,7.0,1,1,1,1,2.0,24.55
503,135,0.0,3,1,0,3,0.0,61.86
504,135,5.0,2,2,2,1,20.0,12.79
505,136,1.0,1,1,0,0,0.0,0.0
506,136,3.0,1,1,0,2,0.0,4.92
507,136,6.0,1,1,0,2,0.0,7.73
508,136,9.0,1,0,0,0,0.0,0.0
509,137,0.0,1,0,0,0,0.0,0.0
510,137,3.0,2,2,0,3,0.0,4.49
511,137,9.0,1,0,0,0,0.0,0.0
512,138,2.0,1,0,1,0,5.0,0.0
513,138,3.0,1,1,1,0,5.0,0.0
514,138,6.0,2,2,2,1,20.0,20.75
515,139,1.0,2,1,0,0,0.0,0.0
516,139,6.0,1,1,0,0,0.0,0.0
517,139,9.0,1,0,1,0,5.0,0.0
518,140,1.0,1,1,0,1,0.0,11.18
519,140,2.0,1,0,1,0,5.0,0.0
520,140,4.0,1,1,1,1,3.0,7.72
521,140,5.0,1,1,0,1,0.0,1.35
522,140,8.0,1,0,0,0,0.0,0.0
523,141,2.0,1,1,1,0,5.0,0.0
524,141,3.0,2,2,1,1,5.0,34.11
525,141,9.0,1,1,0,0,0.0,0.0
526,142,5.0,1,1,0,0,0.0,0.0
527,142,7.0,1,1,1,1,2.0,21.72
528,143,5.0,1,1,0,0,0.0,0.0
529,143,7.0,2,2,0,3,0.0,3.7600000000000002
530,143,8.0,1,1,0,2,0.0,4.45
531,144,3.0,1,1,0,0,0.0,0.0
532,144,4.0,1,1,1,1,3.0,34.94
533,144,7.0,1,1,1,1,2.0,18.45
534,144,8.0,1,1,1,0,2.0,0.0
535,144,9.0,1,1,1,0,5.0,0.0
536,145,1.0,1,1,0,1,0.0,27.59
537,145,3.0,1,1,1,1,5.0,29.44
538,145,4.0,1,1,1,0,3.0,0.0
539,145,7.0,1,1,1,0,2.0,0.0
540,145,8.0,2,1,1,0,2.0,0.0
541,146,0.0,1,1,0,0,0.0,0.0
542,146,5.0,1,1,1,1,10.0,20.89
543,146,8.0,1,1,1,1,2.0,15.56
544,147,2.0,1,0,0,0,0.0,0.0
545,147,3.0,1,1,0,0,0.0,0.0
546,147,4.0,1,1,0,0,0.0,0.0
547,147,9.0,1,0,0,0,0.0,0.0
548,148,1.0,1,1,0,0,0.0,0.0
549,148,2.0,1,1,1,1,5.0,18.46
550,148,4.0,1,1,0,0,0.0,0.0
551,148,7.0,1,1,1,0,2.0,0.0
552,149,0.0,2,0,0,0,0.0,0.0
553,149,4.0,2,1,2,1,6.0,4.32
554,149,7.0,1,1,1,1,2.0,1.6400000000000001
555,150,7.0,1,1,1,4,2.0,9.87
556,150,8.0,1,0,0,0,0.0,0.0
557,150,9.0,2,0,0,0,0.0,0.0
558,151,0.0,3,3,0,1,0.0,28.71
559,151,1.0,1,1,0,2,0.0,400.25
560,151,7.0,1,1,1,0,2.0,0.0
561,152,0.0,1,0,0,0,0.0,0.0
562,152,3.0,1,1,1,1,5.0,3.19
563,152,8.0,1,1,0,0,0.0,0.0
564,153,1.0,1,1,0,1,0.0,8.39
565,153,4.0,1,1,0,0,0.0,0.0
566,153,5.0,1,1,0,0,0.0,0.0
567,153,7.0,1,1,0,0,0.0,0.0
568,153,9.0,1,1,0,1,0.0,8.8
569,154,0.0,1,1,0,0,0.0,0.0
570,154,1.0,1,1,0,0,0.0,0.0
571,154,6.0,1,1,1,1,10.0,13.3
572,155,2.0,1,0,0,0,0.0,0.0
573,155,3.0,1,1,0,0,0.0,0.0
574,155,6.0,1,1,0,2,0.0,4.2299999999999995
