,person,offer_id,offer received,offer viewed,offer completed,transaction,reward,amount,difficulty,email,mobile,social,web,bogo,discount,informational
93,26,7.0,1,1,1,4,2.0,10.739999999999998,10,1,1,1,1,0,1,0
94,26,8.0,1,0,0,0,0.0,0.0,10,1,1,0,1,0,1,0
95,26,9.0,1,1,0,0,0.0,0.0,20,1,0,0,1,0,1,0
96,27,2.0,1,0,0,0,0.0,0.0,5,1,1,0,1,1,0,0
97,27,4.0,1,1,0,1,0.0,0.81,7,1,1,1,1,0,1,0
98,27,7.0,1,1,1,3,2.0,11.26,10,1,1,1,1,0,1,0
99,27,8.0,2,1,0,0,0.0,0.0,10,2,2,0,2,0,1,0
100,27,9.0,1,0,0,0,0.0,0.0,20,1,0,0,1,0,1,0
101,28,0.0,1,0,0,0,0.0,0.0,0,1,1,0,1,0,0,1
102,28,6.0,1,1,0,1,0.0,2.88,10,1,1,1,1,1,0,0
103,28,9.0,2,0,0,0,0.0,0.0,20,2,0,0,2,0,1,0
104,29,1.0,2,2,0,2,0.0,7.550000000000001,0,2,2,2,0,0,0,1
105,29,2.0,2,1,0,0,0.0,0.0,5,2,2,0,2,1,0,0
106,29,7.0,1,1,1,1,2.0,9.32,10,1,1,1,1,0,1,0
107,29,8.0,1,1,1,2,2.0,12.19,10,1,1,0,1,0,1,0
108,30,3.0,1,1,1,1,5.0,25.42,5,1,1,1,1,1,0,0
109,30,4.0,2,2,2,1,6.0,31.53,7,2,2,2,2,0,1,0
110,30,5.0,1,0,1,0,10.0,0.0,10,1,1,1,0,1,0,0
111,31,1.0,1,1,0,1,0.0,1.72,0,1,1,1,0,0,0,1
112,31,2.0,1,0,0,0,0.0,0.0,5,1,1,0,1,1,0,0
113,31,6.0,2,2,0,2,0.0,5.58,10,2,2,2,2,1,0,0
114,31,8.0,1,0,1,0,2.0,0.0,10,1,1,0,1,0,1,0
115,32,0.0,1,1,0,0,0.0,0.0,0,1,1,0,1,0,0,1
116,32,4.0,1,1,1,1,3.0,20.63,7,1,1,1,1,0,1,0
117,32,5.0,1,1,0,0,0.0,0.0,10,1,1,1,0,1,0,0
118,32,6.0,2,2,2,2,20.0,26.68,10,2,2,2,2,1,0,0
119,32,9.0,1,1,1,0,5.0,0.0,20,1,0,0,1,0,1,0
120,33,1.0,1,1,0,0,0.0,0.0,0,1,1,1,0,0,0,1
121,33,2.0,1,0,1,0,5.0,0.0,5,1,1,0,1,1,0,0
122,33,3.0,1,1,1,0,5.0,0.0,5,1,1,1,1,1,0,0
123,33,4.0,1,0,1,0,3.0,0.0,7,1,1,1,1,0,1,0
124,33,8.0,1,0,1,0,2.0,0.0,10,1,1,0,1,0,1,0
125,34,1.0,1,1,0,0,0.0,0.0,0,1,1,1,0,0,0,1
126,34,2.0,3,1,1,0,5.0,0.0,5,3,3,0,3,1,0,0
127,34,3.0,1,1,0,3,0.0,5.47,5,1,1,1,1,1,0,0
128,34,5.0,1,1,0,2,0.0,4.75,10,1,1,1,0,1,0,0
129,35,0.0,1,1,0,2,0.0,22.130000000000003,0,1,1,0,1,0,0,1
130,35,1.0,1,1,0,0,0.0,0.0,0,1,1,1,0,0,0,1
131,35,2.0,2,2,2,2,10.0,32.67,5,2,2,0,2,1,0,0
132,35,5.0,1,1,1,0,10.0,0.0,10,1,1,1,0,1,0,0
133,35,6.0,1,1,1,1,10.0,19.88,10,1,1,1,1,1,0,0
134,36,1.0,1,1,0,1,0.0,1.22,0,1,1,1,0,0,0,1
135,36,3.0,1,1,1,1,5.0,0.22,5,1,1,1,1,1,0,0
136,36,5.0,1,0,0,0,0.0,0.0,10,1,1,1,0,1,0,0
137,36,8.0,1,0,1,0,2.0,0.0,10,1,1,0,1,0,1,0
138,37,1.0,1,0,0,0,0.0,0.0,0,1,1,1,0,0,0,1
139,37,7.0,1,1,1,0,2.0,0.0,10,1,1,1,1,0,1,0
140,37,9.0,1,1,1,0,5.0,0.0,20,1,0,0,1,0,1,0
141,38,1.0,1,1,0,2,0.0,6.12,0,1,1,1,0,0,0,1
142,38,4.0,1,1,1,4,3.0,10.68,7,1,1,1,1,0,1,0
143,38,7.0,1,1,1,0,2.0,0.0,10,1,1,1,1,0,1,0
144,39,1.0,1,1,0,0,0.0,0.0,0,1,1,1,0,0,0,1
145,39,3.0,1,1,1,0,5.0,0.0,5,1,1,1,1,1,0,0
146,39,4.0,1,1,0,0,0.0,0.0,7,1,1,1,1,0,1,0
147,39,6.0,1,1,0,1,0.0,0.4,10,1,1,1,1,1,0,0
148,39,7.0,1,1,0,0,0.0,0.0,10,1,1,1,1,0,1,0
149,39,8.0,1,0,0,0,0.0,0.0,10,1,1,0,1,0,1,0
150,40,3.0,1,1,1,1,5.0,5.79,5,1,1,1,1,1,0,0
151,40,4.0,1,1,1,2,3.0,9.56,7,1,1,1,1,0,1,0
152,40,8.0,2,1,2,1,4.0,115.0,10,2,2,0,2,0,1,0
153,41,5.0,1,1,0,8,0.0,25.49,10,1,1,1,0,1,0,0
154,41,9.0,1,0,0,0,0.0,0.0,20,1,0,0,1,0,1,0
155,42,0.0,1,1,0,2,0.0,11.25,0,1,1,0,1,0,0,1
156,42,2.0,1,1,1,1,5.0,6.01,5,1,1,0,1,1,0,0
157,42,4.0,1,1,1,1,3.0,3.33,7,1,1,1,1,0,1,0
158,42,6.0,2,2,1,2,10.0,27.86,10,2,2,2,2,1,0,0
159,43,2.0,1,1,1,0,5.0,0.0,5,1,1,0,1,1,0,0
160,43,3.0,1,1,0,0,0.0,0.0,5,1,1,1,1,1,0,0
161,43,4.0,1,1,1,1,3.0,29.03,7,1,1,1,1,0,1,0
162,43,6.0,1,1,1,0,10.0,0.0,10,1,1,1,1,1,0,0
163,43,8.0,1,0,1,0,2.0,0.0,10,1,1,0,1,0,1,0
164,44,9.0,2,2,0,1,0.0,0.66,20,2,0,0,2,0,1,0
165,45,3.0,1,1,0,1,0.0,2.27,5,1,1,1,1,1,0,0
166,45,7.0,1,1,1,2,2.0,10.129999999999999,10,1,1,1,1,0,1,0
167,45,9.0,3,2,0,3,0.0,4.01,20,3,0,0,3,0,1,0
168,46,2.0,1,0,0,0,0.0,0.0,5,1,1,0,1,1,0,0
169,46,4.0,1,1,0,2,0.0,4.88,7,1,1,1,1,0,1,0
170,46,5.0,2,2,0,2,0.0,1.79,10,2,2,2,0,1,0,0
171,46,9.0,1,0,1,0,5.0,0.0,20,1,0,0,1,0,1,0
172,47,0.0,1,1,0,1,0.0,26.75,0,1,1,0,1,0,0,1
173,47,1.0,1,1,0,0,0.0,0.0,0,1,1,1,0,0,0,1
174,47,2.0,1,0,0,0,0.0,0.0,5,1,1,0,1,1,0,0
175,47,3.0,1,1,1,1,5.0,19.36,5,1,1,1,1,1,0,0
176,47,6.0,1,1,1,1,10.0,38.82,10,1,1,1,1,1,0,0
177,47,7.0,1,1,1,0,2.0,0.0,10,1,1,1,1,0,1,0
178,48,0.0,1,0,0,0,0.0,0.0,0,1,1,0,1,0,0,1
179,48,1.0,1,1,0,4,0.0,15.26,0,1,1,1,0,0,0,1
180,48,3.0,1,1,1,1,5.0,7.16,5,1,1,1,1,1,0,0
181,48,6.0,1,1,0,3,0.0,11.64,10,1,1,1,1,1,0,0
182,48,9.0,1,0,0,0,0.0,0.0,20,1,0,0,1,0,1,0
183,49,2.0,1,0,1,0,5.0,0.0,5,1,1,0,1,1,0,0
184,49,4.0,1,1,1,4,3.0,9.07,7,1,1,1,1,0,1,0
185,49,5.0,1,1,0,0,0.0,0.0,10,1,1,1,0,1,0,0
186,49,8.0,1,0,1,0,2.0,0.0,10,1,1,0,1,0,1,0
187,50,2.0,1,1,0,5,0.0,8.34,5,1,1,0,1,1,0,0
188,50,5.0,1,1,1,1,10.0,3.54,10,1,1,1,0,1,0,0
189,50,8.0,2,0,1,0,2.0,0.0,10,2,2,0,2,0,1,0
190,51,1.0,1,1,0,1,0.0,7.93,0,1,1,1,0,0,0,1
191,51,2.0,1,1,1,0,5.0,0.0,5,1,1,0,1,1,0,0
192,51,5.0,1,1,0,1,0.0,7.46,10,1,1,1,0,1,0,0
193,51,6.0,1,1,0,0,0.0,0.0,10,1,1,1,1,1,0,0
194,52,4.0,1,1,1,0,3.0,0.0,7,1,1,1,1,0,1,0
195,52,9.0,2,0,2,0,10.0,0.0,20,2,0,0,2,0,1,0
196,53,1.0,1,1,0,0,0.0,0.0,0,1,1,1,0,0,0,1
197,53,2.0,2,1,1,4,5.0,14.3,5,2,2,0,2,1,0,0
198,53,4.0,1,1,1,3,3.0,8.03,7,1,1,1,1,0,1,0
199,53,8.0,1,0,1,0,2.0,0.0,10,1,1,0,1,0,1,0
200,54,2.0,1,1,1,0,5.0,0.0,5,1,1,0,1,1,0,0
201,54,3.0,1,1,1,3,5.0,8.809999999999999,5,1,1,1,1,1,0,0
202,55,4.0,1,1,1,1,3.0,18.42,7,1,1,1,1,0,1,0
203,55,6.0,1,1,1,0,10.0,0.0,10,1,1,1,1,1,0,0
204,55,8.0,1,1,1,1,2.0,34.56,10,1,1,0,1,0,1,0
205,55,9.0,1,1,1,1,5.0,21.13,20,1,0,0,1,0,1,0
206,56,0.0,1,1,0,1,0.0,3.47,0,1,1,0,1,0,0,1
207,56,4.0,1,1,0,0,0.0,0.0,7,1,1,1,1,0,1,0
208,56,8.0,1,1,0,1,0.0,5.15,10,1,1,0,1,0,1,0
209,57,0.0,1,0,0,0,0.0,0.0,0,1,1,0,1,0,0,1
210,57,1.0,1,1,0,0,0.0,0.0,0,1,1,1,0,0,0,1
211,57,2.0,1,0,1,0,5.0,0.0,5,1,1,0,1,1,0,0
212,57,5.0,2,2,0,3,0.0,11.379999999999999,10,2,2,2,0,1,0,0
213,58,3.0,1,1,1,0,5.0,0.0,5,1,1,1,1,1,0,0
214,58,5.0,1,1,1,0,10.0,0.0,10,1,1,1,0,1,0,0
215,58,6.0,1,1,1,1,10.0,26.33,10,1,1,1,1,1,0,0
216,58,7.0,1,1,1,0,2.0,0.0,10,1,1,1,1,0,1,0
217,58,9.0,1,1,1,1,5.0,26.08,20,1,0,0,1,0,1,0
218,59,0.0,1,0,0,0,0.0,0.0,0,1,1,0,1,0,0,1
219,59,5.0,1,1,0,0,0.0,0.0,10,1,1,1,0,1,0,0
220,59,7.0,1,1,0,0,0.0,0.0,10,1,1,1,1,0,1,0
221,59,9.0,1,0,0,0,0.0,0.0,20,1,0,0,1,0,1,0
222,60,1.0,1,1,0,2,0.0,7.7299999999999995,0,1,1,1,0,0,0,1
223,60,7.0,1,1,0,0,0.0,0.0,10,1,1,1,1,0,1,0
224,60,8.0,1,0,0,0,0.0,0.0,10,1,1,0,1,0,1,0
225,60,9.0,1,0,1,0,5.0,0.0,20,1,0,0,1,0,1,0
226,61,3.0,1,1,1,1,5.0,8.7,5,1,1,1,1,1,0,0
227,61,4.0,2,2,2,3,6.0,28.78,7,2,2,2,2,0,1,0
228,61,7.0,1,1,1,0,2.0,0.0,10,1,1,1,1,0,1,0
229,62,5.0,1,1,1,0,10.0,0.0,10,1,1,1,0,1,0,0
230,62,7.0,1,1,1,2,2.0,22.61,10,1,1,1,1,0,1,0
231,62,8.0,1,1,1,1,2.0,12.4,10,1,1,0,1,0,1,0
232,63,1.0,1,1,0,0,0.0,0.0,0,1,1,1,0,0,0,1
233,63,4.0,1,1,1,1,3.0,15.61,7,1,1,1,1,0,1,0
234,63,9.0,1,0,1,0,5.0,0.0,20,1,0,0,1,0,1,0
235,64,0.0,1,0,0,0,0.0,0.0,0,1,1,0,1,0,0,1
236,64,4.0,1,1,1,0,3.0,0.0,7,1,1,1,1,0,1,0
237,64,6.0,2,2,0,3,0.0,9.05,10,2,2,2,2,1,0,0
238,64,9.0,1,0,0,0,0.0,0.0,20,1,0,0,1,0,1,0
239,65,3.0,2,2,2,2,10.0,43.22,5,2,2,2,2,1,0,0
240,65,4.0,1,1,1,0,3.0,0.0,7,1,1,1,1,0,1,0
241,65,6.0,1,1,1,0,10.0,0.0,10,1,1,1,1,1,0,0
242,65,8.0,1,1,1,0,2.0,0.0,10,1,1,0,1,0,1,0
243,66,1.0,1,1,0,1,0.0,13.69,0,1,1,1,0,0,0,1
244,66,2.0,1,1,1,0,5.0,0.0,5,1,1,0,1,1,0,0
245,66,8.0,1,1,1,1,2.0,12.4,10,1,1,0,1,0,1,0
246,67,1.0,1,1,0,0,0.0,0.0,0,1,1,1,0,0,0,1
247,67,3.0,1,1,1,1,5.0,12.52,5,1,1,1,1,1,0,0
248,67,4.0,2,2,2,2,6.0,36.32,7,2,2,2,2,0,1,0
249,67,7.0,1,1,1,1,2.0,20.38,10,1,1,1,1,0,1,0
250,68,1.0,2,2,0,2,0.0,7.790000000000001,0,2,2,2,0,0,0,1
251,68,3.0,1,1,0,0,0.0,0.0,5,1,1,1,1,1,0,0
252,68,6.0,1,1,0,3,0.0,4.84,10,1,1,1,1,1,0,0
253,68,9.0,1,0,0,0,0.0,0.0,20,1,0,0,1,0,1,0
254,69,1.0,1,1,0,0,0.0,0.0,0,1,1,1,0,0,0,1
255,69,5.0,1,0,0,0,0.0,0.0,10,1,1,1,0,1,0,0
256,69,8.0,1,1,1,1,2.0,26.4,10,1,1,0,1,0,1,0
257,70,2.0,1,0,0,0,0.0,0.0,5,1,1,0,1,1,0,0
258,70,5.0,1,0,1,0,10.0,0.0,10,1,1,1,0,1,0,0
259,70,9.0,1,0,1,0,5.0,0.0,20,1,0,0,1,0,1,0
260,71,1.0,1,1,0,1,0.0,14.08,0,1,1,1,0,0,0,1
261,71,4.0,1,1,1,1,3.0,26.57,7,1,1,1,1,0,1,0
262,71,5.0,1,1,1,1,10.0,10.41,10,1,1,1,0,1,0,0
263,71,6.0,1,1,1,0,10.0,0.0,10,1,1,1,1,1,0,0
264,71,8.0,2,0,2,0,4.0,0.0,10,2,2,0,2,0,1,0
265,72,2.0,1,1,1,1,5.0,17.09,5,1,1,0,1,1,0,0
266,72,5.0,1,1,1,1,10.0,26.65,10,1,1,1,0,1,0,0
267,72,6.0,2,2,2,1,20.0,35.91,10,2,2,2,2,1,0,0
268,72,7.0,1,0,1,0,2.0,0.0,10,1,1,1,1,0,1,0
269,73,3.0,2,2,0,3,0.0,4.83,5,2,2,2,2,1,0,0
270,73,7.0,1,1,1,0,2.0,0.0,10,1,1,1,1,0,1,0
271,73,8.0,1,0,0,0,0.0,0.0,10,1,1,0,1,0,1,0
272,73,9.0,1,0,0,0,0.0,0.0,20,1,0,0,1,0,1,0
273,74,0.0,1,1,0,0,0.0,0.0,0,1,1,0,1,0,0,1
274,74,4.0,1,1,1,0,3.0,0.0,7,1,1,1,1,0,1,0
275,74,7.0,2,2,1,0,2.0,0.0,10,2,2,2,2,0,1,0
276,74,8.0,1,1,0,0,0.0,0.0,10,1,1,0,1,0,1,0
277,75,1.0,1,1,0,1,0.0,23.59,0,1,1,1,0,0,0,1
278,75,3.0,1,1,0,0,0.0,0.0,5,1,1,1,1,1,0,0
279,75,8.0,1,1,1,0,2.0,0.0,10,1,1,0,1,0,1,0
280,76,3.0,1,1,1,1,5.0,17.04,5,1,1,1,1,1,0,0
281,76,7.0,2,2,2,1,4.0,16.68,10,2,2,2,2,0,1,0
282,76,9.0,1,1,1,0,5.0,0.0,20,1,0,0,1,0,1,0
283,77,0.0,2,0,0,0,0.0,0.0,0,2,2,0,2,0,0,1
284,77,4.0,2,2,0,1,0.0,6.11,7,2,2,2,2,0,1,0
285,77,7.0,1,1,0,1,0.0,6.58,10,1,1,1,1,0,1,0
286,78,1.0,1,1,0,0,0.0,0.0,0,1,1,1,0,0,0,1
287,78,5.0,1,1,0,0,0.0,0.0,10,1,1,1,0,1,0,0
288,79,0.0,1,1,0,0,0.0,0.0,0,1,1,0,1,0,0,1
289,79,4.0,2,2,0,0,0.0,0.0,7,2,2,2,2,0,1,0
290,79,5.0,2,1,1,1,10.0,22.96,10,2,2,2,0,1,0,0
291,79,9.0,1,0,1,0,5.0,0.0,20,1,0,0,1,0,1,0
292,80,0.0,1,0,0,0,0.0,0.0,0,1,1,0,1,0,0,1
293,80,1.0,1,1,0,0,0.0,0.0,0,1,1,1,0,0,0,1
294,80,4.0,1,1,0,0,0.0,0.0,7,1,1,1,1,0,1,0
295,80,7.0,1,1,0,1,0.0,5.17,10,1,1,1,1,0,1,0
296,80,8.0,1,0,0,0,0.0,0.0,10,1,1,0,1,0,1,0
297,81,3.0,1,1,1,2,5.0,8.67,5,1,1,1,1,1,0,0
298,81,5.0,1,0,0,0,0.0,0.0,10,1,1,1,0,1,0,0
299,81,7.0,2,2,2,5,4.0,18.200000000000003,10,2,2,2,2,0,1,0
300,81,9.0,2,1,0,0,0.0,0.0,20,2,0,0,2,0,1,0
301,82,1.0,2,2,0,4,0.0,10.01,0,2,2,2,0,0,0,1
302,82,3.0,1,1,0,0,0.0,0.0,5,1,1,1,1,1,0,0
303,82,7.0,1,1,1,1,2.0,3.17,10,1,1,1,1,0,1,0
304,82,9.0,1,0,0,0,0.0,0.0,20,1,0,0,1,0,1,0
305,83,0.0,1,0,0,0,0.0,0.0,0,1,1,0,1,0,0,1
306,83,1.0,1,1,0,0,0.0,0.0,0,1,1,1,0,0,0,1
307,83,3.0,2,2,0,2,0.0,4.16,5,2,2,2,2,1,0,0
308,84,3.0,2,2,0,4,0.0,6.09,5,2,2,2,2,1,0,0
309,84,4.0,1,1,1,1,3.0,3.96,7,1,1,1,1,0,1,0
310,84,7.0,1,1,1,3,2.0,7.16,10,1,1,1,1,0,1,0
311,84,9.0,1,1,0,0,0.0,0.0,20,1,0,0,1,0,1,0
312,85,1.0,1,1,0,0,0.0,0.0,0,1,1,1,0,0,0,1
313,85,3.0,1,1,1,0,5.0,0.0,5,1,1,1,1,1,0,0
314,85,4.0,1,1,1,1,3.0,24.19,7,1,1,1,1,0,1,0
315,85,5.0,1,1,1,0,10.0,0.0,10,1,1,1,0,1,0,0
316,85,8.0,1,1,0,0,0.0,0.0,10,1,1,0,1,0,1,0
317,86,0.0,1,0,0,0,0.0,0.0,0,1,1,0,1,0,0,1
318,86,4.0,1,1,1,0,3.0,0.0,7,1,1,1,1,0,1,0
319,86,7.0,3,3,3,3,6.0,106.79999999999998,10,3,3,3,3,0,1,0
320,87,0.0,1,1,0,0,0.0,0.0,0,1,1,0,1,0,0,1
321,87,4.0,1,1,1,1,3.0,17.53,7,1,1,1,1,0,1,0
322,87,9.0,1,0,1,0,5.0,0.0,20,1,0,0,1,0,1,0
323,88,0.0,2,2,0,4,0.0,65.07,0,2,2,0,2,0,0,1
324,88,1.0,1,1,0,0,0.0,0.0,0,1,1,1,0,0,0,1
325,88,6.0,3,3,3,2,30.0,25.65,10,3,3,3,3,1,0,0
326,89,5.0,3,3,0,6,0.0,24.900000000000002,10,3,3,3,0,1,0,0
327,89,6.0,1,0,0,0,0.0,0.0,10,1,1,1,1,1,0,0
328,89,7.0,2,2,2,5,4.0,11.489999999999998,10,2,2,2,2,0,1,0
329,90,3.0,2,2,0,0,0.0,0.0,5,2,2,2,2,1,0,0
330,90,4.0,1,1,0,0,0.0,0.0,7,1,1,1,1,0,1,0
331,91,1.0,2,2,0,0,0.0,0.0,0,2,2,2,0,0,0,1
332,91,2.0,1,1,1,1,5.0,15.21,5,1,1,0,1,1,0,0
333,91,4.0,1,1,1,1,3.0,19.96,7,1,1,1,1,0,1,0
334,91,5.0,1,1,1,1,10.0,15.4,10,1,1,1,0,1,0,0
335,92,2.0,1,1,0,0,0.0,0.0,5,1,1,0,1,1,0,0
336,92,4.0,1,1,0,0,0.0,0.0,7,1,1,1,1,0,1,0
337,92,9.0,1,0,0,0,0.0,0.0,20,1,0,0,1,0,1,0
338,93,4.0,1,1,1,1,3.0,20.38,7,1,1,1,1,0,1,0
339,93,6.0,1,1,1,1,10.0,11.72,10,1,1,1,1,1,0,0
340,93,7.0,1,1,1,1,2.0,15.97,10,1,1,1,1,0,1,0
341,93,9.0,1,1,1,0,5.0,0.0,20,1,0,0,1,0,1,0
342,94,4.0,2,2,2,1,6.0,28.44,7,2,2,2,2,0,1,0
343,94,8.0,1,1,1,1,2.0,14.82,10,1,1,0,1,0,1,0
344,94,9.0,1,0,1,0,5.0,0.0,20,1,0,0,1,0,1,0
